Designator,Mid X,Mid Y,Rotation,Layer
C1,124.5,-66.0,270.0,top
C2,136.0,-64.0,270.0,top
C3,134.0,-60.5,270.0,top
C4,131.5,-60.5,270.0,top
J1,113.025,-61.525,0.0,top
J2,134.0,-55.5,270.0,top
J3,134.0,-67.5,270.0,top
LED1,138.0,-58.5,180.0,top
R1,138.5,-62.0,0.0,top
U1,126.2,-61.41,0.0,top
U2,132.5,-64.0,180.0,top
